OrderId,CreatedAt,Items,CustomerId,FirstName,LastName,Street,CardBrand,CardExpiration,CardHolderName,CardNumber,CardSecurityNumber,City,Installments,Complement,PaymentType,State,ZipCode,GrainAccesses
7000,11/09/2023 00:50:48,3805:Intelligent Cotton Towels:2:9730:2:0;,7000,Liana,Ratke,6358 Assunta Cape,Savings Account,10.10.2024,Amos Schroeder,6496-6261-3225-4183-1126,823,South Blairtown,0,Djibouti,CREDIT_CARD,Mississippi,68266-1791,Marketplace.Grains.Extended.OrderActorExt:24:2;Marketplace.Grains.Extended.PaymentActorExt:24:1;Marketplace.Grains.Extended.StockActorExt:29:3;
7001,11/09/2023 00:50:48,8000:Practical Fresh Bike:6:2810:2:0;,7001,Mallory,Bergstrom,5627 Gleichner Tunnel,Checking Account,07.12.2023,Khalid Olson,3529-6330-6450-0949,094,Osvaldoburgh,0,Japan,CREDIT_CARD,Alaska,53781-2834,Marketplace.Grains.Extended.OrderActorExt:25:2;Marketplace.Grains.Extended.PaymentActorExt:25:1;Marketplace.Grains.Extended.StockActorExt:0:3;
7002,11/09/2023 00:50:48,4462:Small Plastic Shoes:9:578:4:0;,7002,Althea,Waters,1977 Forest Ridge,Home Loan Account,11.11.2023,Lonny Ferry,3529-1549-3984-3299,025,Pollichtown,0,Spain,CREDIT_CARD,Michigan,99913-2133,Marketplace.Grains.Extended.OrderActorExt:26:2;Marketplace.Grains.Extended.PaymentActorExt:26:1;Marketplace.Grains.Extended.StockActorExt:46:3;
7003,11/09/2023 00:50:48,7930:Licensed Cotton Towels:8:6336:5:0;,7003,Louisa,Rippin,77811 Grimes Fall,Personal Loan Account,03.03.2024,Reba Tromp,5419-6243-0840-9383,118,Lake Gardner,0,Congo,CREDIT_CARD,Rhode Island,39102,Marketplace.Grains.Extended.OrderActorExt:27:2;Marketplace.Grains.Extended.PaymentActorExt:27:1;Marketplace.Grains.Extended.StockActorExt:58:3;
7004,11/09/2023 00:50:48,8303:Handmade Steel Bacon:2:9308:2:0;,7004,Hortense,Harber,6624 Hunter Harbors,Personal Loan Account,01.02.2024,Florida Streich,6767-2460-3679-3309-424,649,Lake Angelaton,0,Paraguay,CREDIT_CARD,Louisiana,89478-8235,Marketplace.Grains.Extended.OrderActorExt:28:2;Marketplace.Grains.Extended.PaymentActorExt:28:1;Marketplace.Grains.Extended.StockActorExt:47:3;
7005,11/09/2023 00:50:48,7333:Tasty Steel Table:5:3190:5:0;,7005,Dolores,Koelpin,275 Dusty Heights,Auto Loan Account,01.02.2024,Jammie Quigley,4866711665323,047,South Tylerhaven,0,Tunisia,CREDIT_CARD,California,31263,Marketplace.Grains.Extended.OrderActorExt:29:2;Marketplace.Grains.Extended.PaymentActorExt:29:1;Marketplace.Grains.Extended.StockActorExt:37:3;
7006,11/09/2023 00:50:48,9257:Sleek Wooden Bacon:5:4835:2:0;,7006,Dawson,Legros,835 Juvenal Isle,Personal Loan Account,05.05.2024,Elise Labadie,6304-2767-6898-7865,060,Port Jarredview,0,Chad,CREDIT_CARD,Virginia,85430,Marketplace.Grains.Extended.OrderActorExt:30:2;Marketplace.Grains.Extended.PaymentActorExt:30:1;Marketplace.Grains.Extended.StockActorExt:41:3;
7007,11/09/2023 00:50:48,688:Awesome Rubber Gloves:3:1754:5:0;,7007,Annalise,Luettgen,428 Salvador Overpass,Money Market Account,25.01.2024,Winston Kulas,3528-9271-7210-8962,394,Lake Berthaside,0,Cyprus,CREDIT_CARD,Ohio,98352-9984,Marketplace.Grains.Extended.OrderActorExt:31:2;Marketplace.Grains.Extended.PaymentActorExt:31:1;Marketplace.Grains.Extended.StockActorExt:48:3;
7008,11/09/2023 00:50:48,2076:Tasty Metal Chair:6:897:2:0;,7008,Nicola,Cruickshank,620 Abbott Keys,Personal Loan Account,01.08.2024,Jacynthe Collier,5264-2751-6326-8764,083,East Cortney,0,Central African Republic,CREDIT_CARD,Alabama,98210,Marketplace.Grains.Extended.OrderActorExt:32:2;Marketplace.Grains.Extended.PaymentActorExt:32:1;Marketplace.Grains.Extended.StockActorExt:28:3;
7009,11/09/2023 00:50:48,7542:Ergonomic Cotton Towels:8:5767:3:0;,7009,Jaqueline,O'Keefe,4744 Smitham Rapids,Personal Loan Account,29.06.2024,Jovan Kassulke,4151-6455-8601-2891,017,Abernathyton,0,Jamaica,CREDIT_CARD,New York,67725,Marketplace.Grains.Extended.OrderActorExt:33:2;Marketplace.Grains.Extended.PaymentActorExt:33:1;Marketplace.Grains.Extended.StockActorExt:54:3;
