OrderId,CreatedAt,Items,CustomerId,FirstName,LastName,Street,CardBrand,CardExpiration,CardHolderName,CardNumber,CardSecurityNumber,City,Installments,Complement,PaymentType,State,ZipCode,GrainAccesses
4000,11/09/2023 00:50:39,7936:Handmade Concrete Shirt:10:9226:2:0;,4000,Kelsie,Parker,90463 Lind Spring,Investment Account,11.06.2024,Alysha Cremin,4905171464718,222,Port Erickhaven,0,Mauritania,CREDIT_CARD,New Jersey,21424-4596,Marketplace.Grains.StockActor:0:3;Marketplace.Grains.OrderActor:32:2;Marketplace.Grains.PaymentActor:32:1;
4001,11/09/2023 00:50:39,7346:Sleek Granite Sausages:3:2292:3:0;,4001,Newton,Yost,6961 Keyon Crossing,Home Loan Account,22.01.2024,Xavier Steuber,6759-0337-9269-6644,163,North Nicklausberg,0,Cambodia,CREDIT_CARD,Wyoming,86327,Marketplace.Grains.StockActor:50:3;Marketplace.Grains.OrderActor:33:2;Marketplace.Grains.PaymentActor:33:1;
4002,11/09/2023 00:50:39,6161:Handmade Concrete Chicken:5:5830:2:0;,4002,Melody,Labadie,785 Bogan Prairie,Auto Loan Account,09.09.2024,Estella Beer,3528-3787-6911-0906,208,McKenziestad,0,Papua New Guinea,CREDIT_CARD,Virginia,25824,Marketplace.Grains.StockActor:17:3;Marketplace.Grains.OrderActor:34:2;Marketplace.Grains.PaymentActor:34:1;
4003,11/09/2023 00:50:39,8458:Unbranded Soft Pizza:1:1490:3:0;,4003,Mattie,Gutmann,8143 Jules Mission,Money Market Account,15.11.2023,Ellie Roberts,6393-8862-8361-9470,112,New Keeganberg,0,Chad,CREDIT_CARD,Michigan,90099,Marketplace.Grains.StockActor:10:3;Marketplace.Grains.OrderActor:35:2;Marketplace.Grains.PaymentActor:35:1;
4004,11/09/2023 00:50:39,2175:Sleek Fresh Shirt:7:235:2:0;,4004,Kitty,Douglas,503 Dee Pass,Home Loan Account,09.07.2024,Jaydon Stehr,6382-1236-9319-1723,542,Predovicton,0,Kyrgyz Republic,CREDIT_CARD,Alabama,64197-1628,Marketplace.Grains.StockActor:63:3;Marketplace.Grains.OrderActor:36:2;Marketplace.Grains.PaymentActor:36:1;
4005,11/09/2023 00:50:39,1294:Handcrafted Cotton Hat:4:4033:3:0;,4005,Carlos,Russel,03313 Buck Roads,Investment Account,19.04.2024,Margarett Schumm,3402-860677-56233,879,Steuberton,0,Iraq,CREDIT_CARD,Ohio,00353-6374,Marketplace.Grains.StockActor:14:3;Marketplace.Grains.OrderActor:37:2;Marketplace.Grains.PaymentActor:37:1;
4006,11/09/2023 00:50:39,9748:Sleek Cotton Shirt:10:5972:4:0;,4006,Abbie,Hegmann,986 Daniel Garden,Home Loan Account,25.10.2024,Jailyn Heathcote,6759-8971-1288-8314-428,219,Terryton,0,Nepal,CREDIT_CARD,North Carolina,38743-1775,Marketplace.Grains.StockActor:20:3;Marketplace.Grains.OrderActor:38:2;Marketplace.Grains.PaymentActor:38:1;
4007,11/09/2023 00:50:39,4846:Ergonomic Metal Car:9:1960:2:0;,4007,Rasheed,D'Amore,380 Schoen Junctions,Personal Loan Account,11.05.2024,Ludwig Morar,3529-2114-3501-6760,517,Port Brandy,0,Bahamas,CREDIT_CARD,Louisiana,58590,Marketplace.Grains.StockActor:46:3;Marketplace.Grains.OrderActor:39:2;Marketplace.Grains.PaymentActor:39:1;
4008,11/09/2023 00:50:39,5452:Incredible Cotton Chicken:10:8073:3:0;,4008,Ron,Kunde,47637 Cielo Glen,Money Market Account,26.07.2024,Jensen Nienow,6771967630244113,753,Lake Rudytown,0,Democratic People's Republic of Korea,CREDIT_CARD,New York,26983,Marketplace.Grains.StockActor:12:3;Marketplace.Grains.OrderActor:40:2;Marketplace.Grains.PaymentActor:40:1;
4009,11/09/2023 00:50:40,8446:Rustic Metal Bacon:2:7704:2:0;,4009,Ayla,Ebert,71785 Robel Station,Credit Card Account,05.03.2024,Emmanuelle Schoen,6771-8934-7321-8610,769,Lake Cordellton,0,Belize,CREDIT_CARD,Kentucky,75838-2806,Marketplace.Grains.StockActor:62:3;Marketplace.Grains.OrderActor:41:2;Marketplace.Grains.PaymentActor:41:1;
