OrderId,CreatedAt,Items,CustomerId,FirstName,LastName,Street,CardBrand,CardExpiration,CardHolderName,CardNumber,CardSecurityNumber,City,Installments,Complement,PaymentType,State,ZipCode,GrainAccesses
12000,11/09/2023 00:56:42,9372:Small Metal Soap:7:6774:3:0; 9071:Rustic Steel Towels:4:1047:3:0; 6543:Fantastic Plastic Pizza:10:3707:1:0; 5025:Rustic Fresh Keyboard:10:3975:0:0; 305:Incredible Concrete Chips:5:2146:1:0;,12000,Mabel,Baumbach,923 Kiel Pass,Personal Loan Account,30.06.2024,Flossie Crona,6767-0707-5048-9507-981,669,North Ruthieside,0,Peru,CREDIT_CARD,Kentucky,39829-9237,Marketplace.Grains.Extended.OrderActorExt:32:2;Marketplace.Grains.Extended.PaymentActorExt:32:1;Marketplace.Grains.Extended.StockActorExt:28:3;Marketplace.Grains.Extended.StockActorExt:47:3;Marketplace.Grains.Extended.StockActorExt:15:3;Marketplace.Grains.Extended.StockActorExt:33:3;Marketplace.Grains.Extended.StockActorExt:49:3;
12001,11/09/2023 00:56:42,3653:Tasty Soft Table:1:744:5:0; 8443:Licensed Plastic Shoes:9:6314:5:0; 7912:Handcrafted Concrete Bike:2:6065:0:0; 6430:Small Cotton Keyboard:8:6216:2:0; 2431:Awesome Plastic Computer:9:4379:5:0;,12001,Noah,Jakubowski,8097 Nikko River,Credit Card Account,15.05.2024,Emanuel Bernhard,6759-4566-6648-7172,873,New Kiel,0,Zambia,CREDIT_CARD,California,60193-4331,Marketplace.Grains.Extended.OrderActorExt:33:2;Marketplace.Grains.Extended.PaymentActorExt:33:1;Marketplace.Grains.Extended.StockActorExt:5:3;Marketplace.Grains.Extended.StockActorExt:59:3;Marketplace.Grains.Extended.StockActorExt:40:3;Marketplace.Grains.Extended.StockActorExt:30:3;Marketplace.Grains.Extended.StockActorExt:63:3;
12002,11/09/2023 00:56:42,560:Awesome Steel Shoes:7:2143:4:0; 5739:Rustic Steel Pants:10:2982:5:0; 387:Sleek Wooden Chicken:7:6115:3:0; 8139:Tasty Soft Car:10:5828:2:0; 5533:Licensed Rubber Salad:5:8582:5:0;,12002,Angelita,Trantow,40801 Jones Crescent,Credit Card Account,28.12.2023,Mason Reichel,6759-5345-2780-5580-398,909,Port Clemmie,0,Bhutan,CREDIT_CARD,Arkansas,17369-4396,Marketplace.Grains.Extended.OrderActorExt:34:2;Marketplace.Grains.Extended.PaymentActorExt:34:1;Marketplace.Grains.Extended.StockActorExt:48:3;Marketplace.Grains.Extended.StockActorExt:43:3;Marketplace.Grains.Extended.StockActorExt:3:3;Marketplace.Grains.Extended.StockActorExt:11:3;Marketplace.Grains.Extended.StockActorExt:29:3;
12003,11/09/2023 00:56:42,6913:Handcrafted Frozen Pants:7:3079:0:0; 5059:Handcrafted Granite Bike:2:5668:5:0; 6577:Practical Granite Chips:3:4058:1:0; 9898:Tasty Metal Ball:10:5751:4:0; 4377:Gorgeous Soft Sausages:2:6588:4:0;,12003,Gerardo,Stiedemann,6034 Gregoria Motorway,Auto Loan Account,10.10.2024,Imelda Wunsch,3529-3081-6561-5686,245,West Nicholaus,0,Rwanda,CREDIT_CARD,Texas,00689,Marketplace.Grains.Extended.OrderActorExt:35:2;Marketplace.Grains.Extended.PaymentActorExt:35:1;Marketplace.Grains.Extended.StockActorExt:1:3;Marketplace.Grains.Extended.StockActorExt:3:3;Marketplace.Grains.Extended.StockActorExt:49:3;Marketplace.Grains.Extended.StockActorExt:42:3;Marketplace.Grains.Extended.StockActorExt:25:3;
12004,11/09/2023 00:56:42,7041:Ergonomic Frozen Shirt:3:657:2:0; 5934:Rustic Cotton Table:1:6313:0:0; 4644:Tasty Granite Pizza:6:8842:1:0; 2747:Small Plastic Soap:3:8704:0:0; 9091:Rustic Concrete Chair:8:5100:1:0;,12004,Lavinia,Johnson,104 Gutmann Squares,Credit Card Account,16.12.2023,Delphia Rippin,5038-2972-8712-0932,561,West Reginald,0,Taiwan,CREDIT_CARD,Pennsylvania,58903,Marketplace.Grains.Extended.OrderActorExt:36:2;Marketplace.Grains.Extended.PaymentActorExt:36:1;Marketplace.Grains.Extended.StockActorExt:1:3;Marketplace.Grains.Extended.StockActorExt:46:3;Marketplace.Grains.Extended.StockActorExt:36:3;Marketplace.Grains.Extended.StockActorExt:59:3;Marketplace.Grains.Extended.StockActorExt:3:3;
12005,11/09/2023 00:56:42,1610:Tasty Cotton Mouse:8:7445:3:0; 7206:Sleek Steel Tuna:4:1411:2:0; 5796:Incredible Fresh Pants:8:131:1:0; 7172:Generic Cotton Gloves:8:1650:5:0; 8522:Handmade Metal Salad:7:4894:3:0;,12005,Dawson,Murray,85103 Avis Valleys,Checking Account,01.10.2024,Toy Beer,6771217821766205,826,Lake Ariane,0,Costa Rica,CREDIT_CARD,Wyoming,63293,Marketplace.Grains.Extended.OrderActorExt:37:2;Marketplace.Grains.Extended.PaymentActorExt:37:1;Marketplace.Grains.Extended.StockActorExt:10:6;Marketplace.Grains.Extended.StockActorExt:38:3;Marketplace.Grains.Extended.StockActorExt:36:3;Marketplace.Grains.Extended.StockActorExt:4:3;
12006,11/09/2023 00:56:42,3830:Awesome Granite Pizza:5:1868:5:0; 8524:Handcrafted Concrete Fish:5:5272:0:0; 2078:Ergonomic Steel Fish:7:861:4:0; 2263:Sleek Fresh Pizza:3:7791:1:0; 6411:Generic Steel Pizza:8:1943:0:0;,12006,Casey,Koch,0658 Breitenberg Ridges,Savings Account,22.07.2024,Makayla Vandervort,4555-3918-9105-0605,668,West Brennanfort,0,Congo,CREDIT_CARD,Idaho,87151-7840,Marketplace.Grains.Extended.OrderActorExt:38:2;Marketplace.Grains.Extended.PaymentActorExt:38:1;Marketplace.Grains.Extended.StockActorExt:54:3;Marketplace.Grains.Extended.StockActorExt:12:3;Marketplace.Grains.Extended.StockActorExt:30:3;Marketplace.Grains.Extended.StockActorExt:23:3;Marketplace.Grains.Extended.StockActorExt:11:3;
12007,11/09/2023 00:56:42,6527:Generic Soft Soap:10:3516:5:0; 8562:Fantastic Plastic Pizza:2:8880:1:0; 1199:Licensed Fresh Cheese:9:1211:3:0; 9586:Incredible Plastic Keyboard:8:1290:0:0; 787:Awesome Plastic Salad:2:6907:5:0;,12007,Jerod,Gibson,1995 Hassan Cliffs,Savings Account,15.11.2023,Jo Rutherford,4314-2518-2268-7739,441,West Lesleyshire,0,Monaco,CREDIT_CARD,Indiana,58029,Marketplace.Grains.Extended.OrderActorExt:39:2;Marketplace.Grains.Extended.PaymentActorExt:39:1;Marketplace.Grains.Extended.StockActorExt:63:3;Marketplace.Grains.Extended.StockActorExt:50:6;Marketplace.Grains.Extended.StockActorExt:47:3;Marketplace.Grains.Extended.StockActorExt:19:3;
12008,11/09/2023 00:56:43,7715:Intelligent Frozen Bacon:9:7058:1:0; 8156:Gorgeous Fresh Fish:8:3299:0:0; 5796:Incredible Fresh Pants:6:131:1:0; 3834:Incredible Metal Sausages:7:4202:1:0; 835:Fantastic Wooden Gloves:7:1142:3:0;,12008,Rafael,Pfannerstill,1255 Stephen Course,Credit Card Account,29.11.2023,Zoey Johnston,6011-6222-9191-6743-9409,546,Port Macieville,0,Saint Martin,CREDIT_CARD,Mississippi,97501-5876,Marketplace.Grains.Extended.OrderActorExt:40:2;Marketplace.Grains.Extended.PaymentActorExt:40:1;Marketplace.Grains.Extended.StockActorExt:35:3;Marketplace.Grains.Extended.StockActorExt:28:3;Marketplace.Grains.Extended.StockActorExt:36:3;Marketplace.Grains.Extended.StockActorExt:58:3;Marketplace.Grains.Extended.StockActorExt:3:3;
12009,11/09/2023 00:56:43,540:Intelligent Concrete Cheese:6:2426:2:0; 3917:Refined Cotton Fish:4:4845:5:0; 6614:Practical Granite Hat:7:4264:1:0; 7210:Handcrafted Concrete Cheese:7:6423:5:0; 3973:Rustic Frozen Table:5:8104:0:0;,12009,Margot,Zulauf,6311 Silas Road,Savings Account,27.02.2024,Berry Bins,3528-1262-0385-4856,386,Goodwinburgh,0,Tajikistan,CREDIT_CARD,Oklahoma,69979,Marketplace.Grains.Extended.OrderActorExt:41:2;Marketplace.Grains.Extended.PaymentActorExt:41:1;Marketplace.Grains.Extended.StockActorExt:28:3;Marketplace.Grains.Extended.StockActorExt:13:3;Marketplace.Grains.Extended.StockActorExt:22:3;Marketplace.Grains.Extended.StockActorExt:42:3;Marketplace.Grains.Extended.StockActorExt:5:3;
12010,11/09/2023 00:56:43,2097:Unbranded Soft Fish:8:1785:4:0; 9680:Handcrafted Frozen Towels:6:5935:2:0; 565:Practical Metal Bike:1:6274:3:0; 7818:Awesome Rubber Bacon:6:2728:0:0; 1421:Intelligent Steel Keyboard:8:6439:0:0;,12010,Frederique,Abbott,319 Barton Falls,Investment Account,18.04.2024,Granville Hilpert,6466-6287-3836-8356-7833,385,Geovanniberg,0,Malta,CREDIT_CARD,North Carolina,55366,Marketplace.Grains.Extended.OrderActorExt:42:2;Marketplace.Grains.Extended.PaymentActorExt:42:1;Marketplace.Grains.Extended.StockActorExt:49:3;Marketplace.Grains.Extended.StockActorExt:16:3;Marketplace.Grains.Extended.StockActorExt:53:3;Marketplace.Grains.Extended.StockActorExt:10:3;Marketplace.Grains.Extended.StockActorExt:13:3;
12011,11/09/2023 00:56:43,3437:Small Cotton Gloves:6:8202:5:0; 4426:Ergonomic Metal Cheese:3:7991:1:0; 3795:Rustic Plastic Bacon:5:9149:1:0; 5933:Handmade Metal Salad:7:2342:3:0; 8695:Handcrafted Rubber Towels:1:6076:2:0;,12011,Kayden,Abernathy,42090 Jennyfer Expressway,Auto Loan Account,12.09.2024,Leann Lesch,6759-5712-2685-6150-19,930,Jerdefort,0,Brazil,CREDIT_CARD,Massachusetts,66758-4123,Marketplace.Grains.Extended.OrderActorExt:43:2;Marketplace.Grains.Extended.PaymentActorExt:43:1;Marketplace.Grains.Extended.StockActorExt:45:6;Marketplace.Grains.Extended.StockActorExt:10:3;Marketplace.Grains.Extended.StockActorExt:19:3;Marketplace.Grains.Extended.StockActorExt:55:3;
12012,11/09/2023 00:56:43,6447:Incredible Steel Ball:9:1436:5:0; 2647:Fantastic Soft Car:3:6612:3:0; 740:Awesome Plastic Ball:8:2815:1:0; 7908:Generic Wooden Mouse:6:1553:5:0; 8601:Fantastic Fresh Bacon:8:2004:1:0;,12012,Brendan,Legros,51834 Shayne Prairie,Credit Card Account,26.02.2024,Hailee Homenick,6759-9780-0741-8244,140,Lake Olafmouth,0,Morocco,CREDIT_CARD,Maryland,91000,Marketplace.Grains.Extended.OrderActorExt:44:2;Marketplace.Grains.Extended.PaymentActorExt:44:1;Marketplace.Grains.Extended.StockActorExt:47:3;Marketplace.Grains.Extended.StockActorExt:23:3;Marketplace.Grains.Extended.StockActorExt:36:6;Marketplace.Grains.Extended.StockActorExt:25:3;
12013,11/09/2023 00:56:43,2035:Awesome Plastic Shirt:5:925:1:0; 3661:Ergonomic Wooden Computer:7:233:3:0; 8123:Unbranded Frozen Car:7:3622:4:0; 1728:Intelligent Soft Keyboard:4:7752:0:0; 9005:Small Rubber Soap:1:8956:1:0;,12013,Leann,Schamberger,699 Bryana Hills,Investment Account,17.10.2024,Dianna Reilly,3013-855164-4570,515,Fredrickton,0,Romania,CREDIT_CARD,Virginia,83595,Marketplace.Grains.Extended.OrderActorExt:45:2;Marketplace.Grains.Extended.PaymentActorExt:45:1;Marketplace.Grains.Extended.StockActorExt:51:3;Marketplace.Grains.Extended.StockActorExt:13:3;Marketplace.Grains.Extended.StockActorExt:59:3;Marketplace.Grains.Extended.StockActorExt:0:3;Marketplace.Grains.Extended.StockActorExt:45:3;
12014,11/09/2023 00:56:43,8350:Ergonomic Granite Keyboard:1:7480:0:0; 3859:Licensed Rubber Fish:1:5847:0:0; 6990:Ergonomic Granite Cheese:10:8957:4:0; 9110:Unbranded Soft Towels:8:4743:2:0; 6661:Generic Soft Soap:3:2330:4:0;,12014,Rickey,Cole,167 Windler Point,Home Loan Account,31.08.2024,Theodora Collier,6398-2094-7087-1082,247,Americafurt,0,United Kingdom,CREDIT_CARD,West Virginia,95271-9050,Marketplace.Grains.Extended.OrderActorExt:46:2;Marketplace.Grains.Extended.PaymentActorExt:46:1;Marketplace.Grains.Extended.StockActorExt:30:3;Marketplace.Grains.Extended.StockActorExt:19:3;Marketplace.Grains.Extended.StockActorExt:14:3;Marketplace.Grains.Extended.StockActorExt:22:3;Marketplace.Grains.Extended.StockActorExt:5:3;
12015,11/09/2023 00:56:43,8884:Refined Cotton Table:5:1633:0:0; 137:Refined Concrete Hat:3:2469:2:0; 810:Ergonomic Wooden Chicken:1:5937:2:0; 1912:Incredible Fresh Mouse:3:2519:1:0; 8551:Sleek Steel Soap:4:9300:3:0;,12015,Aida,Pagac,84059 Jameson Loaf,Personal Loan Account,23.03.2024,Kari Braun,4077-2948-8636-3349,281,Welchport,0,Niger,CREDIT_CARD,Louisiana,68267-2891,Marketplace.Grains.Extended.OrderActorExt:47:2;Marketplace.Grains.Extended.PaymentActorExt:47:1;Marketplace.Grains.Extended.StockActorExt:52:3;Marketplace.Grains.Extended.StockActorExt:9:3;Marketplace.Grains.Extended.StockActorExt:42:3;Marketplace.Grains.Extended.StockActorExt:56:3;Marketplace.Grains.Extended.StockActorExt:39:3;
12016,11/09/2023 00:56:43,7692:Incredible Steel Fish:8:6382:2:0; 591:Licensed Plastic Towels:7:9978:5:0; 8585:Licensed Cotton Soap:2:5708:5:0; 3198:Handmade Metal Chicken:10:9475:2:0; 6424:Refined Soft Pants:7:8651:4:0;,12016,Vincenza,Stracke,792 Deborah Tunnel,Checking Account,10.11.2023,Marcelina Kulas,50180934424250436005,295,Lemkechester,0,Kiribati,CREDIT_CARD,North Dakota,61921-2615,Marketplace.Grains.Extended.OrderActorExt:48:2;Marketplace.Grains.Extended.PaymentActorExt:48:1;Marketplace.Grains.Extended.StockActorExt:12:3;Marketplace.Grains.Extended.StockActorExt:15:3;Marketplace.Grains.Extended.StockActorExt:9:3;Marketplace.Grains.Extended.StockActorExt:62:3;Marketplace.Grains.Extended.StockActorExt:24:3;
12017,11/09/2023 00:56:43,4150:Gorgeous Frozen Shirt:3:9047:3:0; 7959:Unbranded Soft Shoes:1:4024:1:0; 4259:Generic Metal Chicken:7:3050:5:0; 841:Practical Soft Cheese:1:5944:1:0; 2973:Handcrafted Metal Sausages:4:603:5:0;,12017,Hannah,Jones,234 Amina Parks,Money Market Account,18.11.2023,Martin Dietrich,3529-4698-7413-9374,331,Johnsonview,0,Belarus,CREDIT_CARD,Texas,84861-6526,Marketplace.Grains.Extended.OrderActorExt:49:2;Marketplace.Grains.Extended.PaymentActorExt:49:1;Marketplace.Grains.Extended.StockActorExt:54:3;Marketplace.Grains.Extended.StockActorExt:23:3;Marketplace.Grains.Extended.StockActorExt:35:3;Marketplace.Grains.Extended.StockActorExt:9:3;Marketplace.Grains.Extended.StockActorExt:29:3;
12018,11/09/2023 00:56:43,2101:Practical Cotton Gloves:1:2275:3:0; 4767:Unbranded Frozen Mouse:9:4242:4:0; 5266:Licensed Plastic Car:1:5507:3:0; 891:Generic Rubber Mouse:10:469:1:0; 4340:Incredible Granite Pants:9:9630:2:0;,12018,Aaliyah,Wuckert,561 Cyril Junctions,Checking Account,02.09.2024,Roger Borer,6011-6205-0997-4546-8732,966,North Brionna,0,Gambia,CREDIT_CARD,Maine,30681,Marketplace.Grains.Extended.OrderActorExt:50:2;Marketplace.Grains.Extended.PaymentActorExt:50:1;Marketplace.Grains.Extended.StockActorExt:53:3;Marketplace.Grains.Extended.StockActorExt:31:3;Marketplace.Grains.Extended.StockActorExt:18:3;Marketplace.Grains.Extended.StockActorExt:59:3;Marketplace.Grains.Extended.StockActorExt:52:3;
12019,11/09/2023 00:56:43,5067:Licensed Steel Hat:6:9157:2:0; 7416:Practical Metal Sausages:8:1345:3:0; 7888:Refined Fresh Bacon:2:2386:2:0; 5233:Gorgeous Granite Keyboard:7:1374:4:0; 8800:Tasty Wooden Gloves:3:3042:0:0;,12019,Dandre,Hudson,03022 Shania Ridge,Investment Account,24.09.2024,Valentine Gleichner,3552-4552-5690-1598,432,South Mozelleburgh,0,Georgia,CREDIT_CARD,South Dakota,32285,Marketplace.Grains.Extended.OrderActorExt:51:2;Marketplace.Grains.Extended.PaymentActorExt:51:1;Marketplace.Grains.Extended.StockActorExt:11:3;Marketplace.Grains.Extended.StockActorExt:56:3;Marketplace.Grains.Extended.StockActorExt:16:3;Marketplace.Grains.Extended.StockActorExt:49:3;Marketplace.Grains.Extended.StockActorExt:32:3;
12020,11/09/2023 00:56:43,6878:Gorgeous Metal Chips:7:940:5:0; 5793:Licensed Cotton Chicken:2:5242:1:0; 4886:Small Soft Bacon:10:8756:5:0; 8205:Gorgeous Fresh Fish:10:1835:4:0; 5622:Fantastic Plastic Sausages:8:9335:3:0;,12020,Major,Reynolds,18401 Giovanny Corners,Investment Account,09.11.2024,Alphonso Fadel,5442-9436-4789-9364,341,Port Brandyn,0,Qatar,CREDIT_CARD,Wisconsin,82275,Marketplace.Grains.Extended.OrderActorExt:52:2;Marketplace.Grains.Extended.PaymentActorExt:52:1;Marketplace.Grains.Extended.StockActorExt:30:3;Marketplace.Grains.Extended.StockActorExt:33:3;Marketplace.Grains.Extended.StockActorExt:22:3;Marketplace.Grains.Extended.StockActorExt:13:3;Marketplace.Grains.Extended.StockActorExt:54:3;
12021,11/09/2023 00:56:43,8238:Handmade Granite Car:8:7017:3:0; 2689:Handmade Fresh Computer:5:7527:3:0; 1454:Sleek Wooden Soap:3:1497:4:0; 1156:Licensed Wooden Tuna:4:7163:1:0; 2537:Fantastic Steel Shoes:3:473:0:0;,12021,Leila,Bartoletti,4892 Baby Brook,Savings Account,20.10.2024,Roderick Wisozk,6383-6135-3544-4016,049,Vontown,0,Northern Mariana Islands,CREDIT_CARD,Delaware,73289,Marketplace.Grains.Extended.OrderActorExt:53:2;Marketplace.Grains.Extended.PaymentActorExt:53:1;Marketplace.Grains.Extended.StockActorExt:46:6;Marketplace.Grains.Extended.StockActorExt:1:3;Marketplace.Grains.Extended.StockActorExt:4:3;Marketplace.Grains.Extended.StockActorExt:41:3;
12022,11/09/2023 00:56:43,3299:Practical Concrete Car:10:5977:1:0; 3616:Rustic Wooden Tuna:4:4036:3:0; 1883:Handcrafted Concrete Chips:2:6100:5:0; 7381:Ergonomic Cotton Hat:9:2764:4:0; 1002:Intelligent Fresh Chair:7:8924:4:0;,12022,Norval,Rippin,0131 Torphy Oval,Home Loan Account,19.04.2024,Bonnie Hoppe,5490-1162-4893-2642,277,West Angelachester,0,Holy See (Vatican City State),CREDIT_CARD,Mississippi,69397,Marketplace.Grains.Extended.OrderActorExt:54:2;Marketplace.Grains.Extended.PaymentActorExt:54:1;Marketplace.Grains.Extended.StockActorExt:35:3;Marketplace.Grains.Extended.StockActorExt:32:3;Marketplace.Grains.Extended.StockActorExt:27:3;Marketplace.Grains.Extended.StockActorExt:21:3;Marketplace.Grains.Extended.StockActorExt:42:3;
12023,11/09/2023 00:56:43,5855:Handcrafted Rubber Cheese:5:9168:1:0; 4062:Small Wooden Tuna:10:4633:5:0; 7541:Sleek Wooden Shirt:2:6042:3:0; 1483:Licensed Cotton Mouse:10:5665:4:0; 4451:Refined Cotton Ball:7:6302:3:0;,12023,King,White,3284 Isai Gateway,Savings Account,28.08.2024,Margarette Littel,6767-5104-3724-1589,001,Lake Patriciaton,0,United Kingdom,CREDIT_CARD,Maine,80147-4830,Marketplace.Grains.Extended.OrderActorExt:55:2;Marketplace.Grains.Extended.PaymentActorExt:55:1;Marketplace.Grains.Extended.StockActorExt:31:3;Marketplace.Grains.Extended.StockActorExt:30:3;Marketplace.Grains.Extended.StockActorExt:53:3;Marketplace.Grains.Extended.StockActorExt:11:3;Marketplace.Grains.Extended.StockActorExt:35:3;
12024,11/09/2023 00:56:43,4076:Practical Frozen Chicken:9:5974:0:0; 9402:Rustic Soft Cheese:4:8057:5:0; 7281:Handcrafted Concrete Bacon:5:6054:1:0; 8754:Licensed Rubber Hat:9:6861:2:0; 6904:Incredible Soft Table:2:2247:1:0;,12024,Katelin,Pouros,11198 Bergnaum Ranch,Checking Account,14.10.2024,Stefan Hudson,3537-4042-1160-6736,231,West Kimberlytown,0,Gabon,CREDIT_CARD,Louisiana,74651-5798,Marketplace.Grains.Extended.OrderActorExt:56:2;Marketplace.Grains.Extended.PaymentActorExt:56:1;Marketplace.Grains.Extended.StockActorExt:44:3;Marketplace.Grains.Extended.StockActorExt:58:3;Marketplace.Grains.Extended.StockActorExt:49:3;Marketplace.Grains.Extended.StockActorExt:50:3;Marketplace.Grains.Extended.StockActorExt:56:3;
12025,11/09/2023 00:56:43,3583:Handcrafted Frozen Ball:7:7736:0:0; 8593:Gorgeous Plastic Car:6:6865:1:0; 6098:Gorgeous Metal Salad:9:2357:0:0; 4770:Awesome Wooden Bacon:9:5444:5:0; 1594:Sleek Fresh Ball:3:1063:4:0;,12025,Ernestine,Leuschke,632 Ziemann Terrace,Checking Account,27.09.2024,Maxwell Bogan,6759-7278-5392-5093-105,566,Emmaview,0,Czech Republic,CREDIT_CARD,New Mexico,82492,Marketplace.Grains.Extended.OrderActorExt:57:2;Marketplace.Grains.Extended.PaymentActorExt:57:1;Marketplace.Grains.Extended.StockActorExt:63:3;Marketplace.Grains.Extended.StockActorExt:17:3;Marketplace.Grains.Extended.StockActorExt:18:3;Marketplace.Grains.Extended.StockActorExt:34:3;Marketplace.Grains.Extended.StockActorExt:58:3;
