OrderId,CreatedAt,Items,CustomerId,FirstName,LastName,Street,CardBrand,CardExpiration,CardHolderName,CardNumber,CardSecurityNumber,City,Installments,Complement,PaymentType,State,ZipCode,GrainAccesses
2000,11/09/2023 00:55:38,8068:Fantastic Wooden Chair:5:4666:2:0; 3008:Intelligent Cotton Bike:10:8585:1:0; 4402:Handcrafted Fresh Computer:7:9128:3:0; 1713:Practical Frozen Hat:6:3878:5:0; 7647:Unbranded Rubber Fish:6:8093:4:0;,2000,Nadia,Marquardt,926 Lonie Landing,Personal Loan Account,07.05.2024,Belle Reilly,5434-4588-2800-9964,179,West Giovanni,0,Nicaragua,CREDIT_CARD,South Carolina,24899-9124,Marketplace.Grains.StockActor:4:3;Marketplace.Grains.StockActor:0:3;Marketplace.Grains.StockActor:50:3;Marketplace.Grains.StockActor:49:3;Marketplace.Grains.StockActor:31:3;Marketplace.Grains.OrderActor:16:2;Marketplace.Grains.PaymentActor:16:1;
2001,11/09/2023 00:55:38,9493:Small Steel Cheese:7:7249:2:0; 4994:Intelligent Metal Car:3:8525:1:0; 5386:Generic Steel Keyboard:3:8822:5:0; 4323:Generic Granite Car:3:3039:1:0; 7739:Refined Steel Ball:2:3451:1:0;,2001,Emmalee,Swaniawski,4877 Kaitlyn Vista,Savings Account,02.02.2024,Amely Feest,5110-2312-0874-4828,568,Lake Eleonoremouth,0,Macedonia,CREDIT_CARD,Texas,44220-2546,Marketplace.Grains.StockActor:21:3;Marketplace.Grains.StockActor:2:3;Marketplace.Grains.StockActor:10:3;Marketplace.Grains.StockActor:35:3;Marketplace.Grains.StockActor:59:3;Marketplace.Grains.OrderActor:17:2;Marketplace.Grains.PaymentActor:17:1;
2002,11/09/2023 00:55:38,9262:Small Soft Car:4:4471:0:0; 2933:Intelligent Cotton Mouse:2:8537:3:0; 813:Handcrafted Granite Pizza:4:8121:5:0; 4828:Licensed Plastic Car:9:4321:3:0; 2201:Refined Steel Car:4:2837:5:0;,2002,Jaquan,Dare,8835 Keeling Road,Investment Account,25.09.2024,Emmy Von,4246350775602,821,Dewittside,0,Ethiopia,CREDIT_CARD,Arkansas,38350,Marketplace.Grains.StockActor:46:3;Marketplace.Grains.StockActor:53:3;Marketplace.Grains.StockActor:45:3;Marketplace.Grains.StockActor:28:3;Marketplace.Grains.StockActor:25:3;Marketplace.Grains.OrderActor:18:2;Marketplace.Grains.PaymentActor:18:1;
2003,11/09/2023 00:55:38,28:Ergonomic Soft Salad:5:7403:3:0; 4534:Tasty Metal Ball:6:4541:0:0; 733:Handcrafted Cotton Sausages:2:2923:0:0; 4317:Fantastic Plastic Cheese:4:9579:4:0; 6972:Generic Steel Bike:8:5462:5:0;,2003,Cullen,Cruickshank,634 Bergnaum Overpass,Savings Account,09.12.2023,Bernhard Runte,3547-2503-2589-8695,601,North Eraport,0,Afghanistan,CREDIT_CARD,North Carolina,74936,Marketplace.Grains.StockActor:28:3;Marketplace.Grains.StockActor:54:3;Marketplace.Grains.StockActor:29:6;Marketplace.Grains.StockActor:60:3;Marketplace.Grains.OrderActor:19:2;Marketplace.Grains.PaymentActor:19:1;
2004,11/09/2023 00:55:38,9916:Practical Cotton Pants:4:5816:1:0; 1257:Handcrafted Steel Pizza:10:7357:4:0; 9879:Unbranded Soft Pants:2:4543:5:0; 3758:Generic Granite Hat:6:1040:4:0; 3157:Handmade Wooden Gloves:3:4393:4:0;,2004,Kayley,Walker,8571 Brandt Shoals,Home Loan Account,19.06.2024,Dallas Gutmann,6370-7071-7100-3196,781,New Danika,0,Mozambique,CREDIT_CARD,Minnesota,20247,Marketplace.Grains.StockActor:60:3;Marketplace.Grains.StockActor:41:3;Marketplace.Grains.StockActor:23:3;Marketplace.Grains.StockActor:46:3;Marketplace.Grains.StockActor:21:3;Marketplace.Grains.OrderActor:20:2;Marketplace.Grains.PaymentActor:20:1;
2005,11/09/2023 00:55:38,9840:Practical Plastic Table:1:1163:4:0; 8954:Refined Granite Computer:5:7078:0:0; 6979:Sleek Plastic Cheese:4:1055:5:0; 6517:Practical Cotton Salad:4:2857:3:0; 7313:Ergonomic Metal Ball:5:8338:0:0;,2005,Polly,Connelly,38490 Bins Light,Home Loan Account,02.11.2024,Tyson Will,5381-8497-7573-2819,763,Wintheiserfurt,0,Ecuador,CREDIT_CARD,Wisconsin,90523-0966,Marketplace.Grains.StockActor:48:3;Marketplace.Grains.StockActor:58:3;Marketplace.Grains.StockActor:3:3;Marketplace.Grains.StockActor:53:3;Marketplace.Grains.StockActor:17:3;Marketplace.Grains.OrderActor:21:2;Marketplace.Grains.PaymentActor:21:1;
2006,11/09/2023 00:55:38,8304:Handcrafted Wooden Bike:10:9648:3:0; 6606:Awesome Fresh Towels:9:5355:0:0; 5611:Intelligent Concrete Pizza:7:577:4:0; 8879:Unbranded Plastic Hat:3:9452:2:0; 5977:Small Metal Shoes:9:1045:2:0;,2006,Graciela,Trantow,7117 Edwin Lakes,Money Market Account,20.05.2024,Nona Wiegand,6767-1872-4100-2714-528,438,New Raulton,0,Bermuda,CREDIT_CARD,Hawaii,68113,Marketplace.Grains.StockActor:48:3;Marketplace.Grains.StockActor:14:3;Marketplace.Grains.StockActor:43:3;Marketplace.Grains.StockActor:47:3;Marketplace.Grains.StockActor:25:3;Marketplace.Grains.OrderActor:22:2;Marketplace.Grains.PaymentActor:22:1;
2007,11/09/2023 00:55:38,532:Handcrafted Frozen Bacon:4:8111:5:0; 8764:Licensed Rubber Tuna:4:5933:2:0; 1607:Unbranded Fresh Gloves:3:9423:3:0; 6670:Generic Frozen Soap:8:2906:5:0; 2201:Refined Steel Car:10:2837:5:0;,2007,Willy,Koelpin,45420 Kaleigh Radial,Auto Loan Account,20.12.2023,Abner VonRueden,5020-1905-0170-2884,024,Medhurststad,0,Egypt,CREDIT_CARD,Michigan,99496-8936,Marketplace.Grains.StockActor:20:3;Marketplace.Grains.StockActor:60:3;Marketplace.Grains.StockActor:7:3;Marketplace.Grains.StockActor:14:3;Marketplace.Grains.StockActor:25:3;Marketplace.Grains.OrderActor:23:2;Marketplace.Grains.PaymentActor:23:1;
2008,11/09/2023 00:55:38,8372:Tasty Plastic Chicken:1:9058:3:0; 9152:Generic Granite Chair:5:4804:1:0; 4415:Practical Granite Towels:4:3441:1:0; 698:Generic Rubber Hat:1:1311:4:0; 9135:Sleek Concrete Computer:8:317:2:0;,2008,Walton,Anderson,759 Willms Road,Auto Loan Account,08.10.2024,Kali Herman,6536-6202-7669-1094-5756,673,Nicochester,0,Vanuatu,CREDIT_CARD,Mississippi,33138-9293,Marketplace.Grains.StockActor:52:3;Marketplace.Grains.StockActor:0:3;Marketplace.Grains.StockActor:63:3;Marketplace.Grains.StockActor:58:3;Marketplace.Grains.StockActor:47:3;Marketplace.Grains.OrderActor:24:2;Marketplace.Grains.PaymentActor:24:1;
2009,11/09/2023 00:55:38,5725:Unbranded Plastic Cheese:6:3885:3:0; 7102:Small Plastic Tuna:10:5334:1:0; 7637:Incredible Plastic Shoes:3:8273:4:0; 2147:Unbranded Cotton Mouse:5:7224:1:0; 8620:Practical Rubber Chicken:4:3679:5:0;,2009,Libby,Howell,2306 Jayne Plains,Personal Loan Account,11.12.2023,Marshall Huel,6371-9697-4375-0840,063,Port Lourdes,0,New Zealand,CREDIT_CARD,Virginia,46621,Marketplace.Grains.StockActor:29:3;Marketplace.Grains.StockActor:62:3;Marketplace.Grains.StockActor:21:3;Marketplace.Grains.StockActor:35:3;Marketplace.Grains.StockActor:44:3;Marketplace.Grains.OrderActor:25:2;Marketplace.Grains.PaymentActor:25:1;
