OrderId,CreatedAt,Items,CustomerId,FirstName,LastName,Street,CardBrand,CardExpiration,CardHolderName,CardNumber,CardSecurityNumber,City,Installments,Complement,PaymentType,State,ZipCode,GrainAccesses
13500,09/28/2023 23:38:14,953:Generic Metal Tuna:4:4308:0:0; 567:Practical Steel Shoes:1:5811:4:0; 141:Practical Cotton Soap:1:9301:0:0;,13500,Eryn,Stanton,72117 Greyson Points,Auto Loan Account,11.07.2024,Damien Jast,6599-6233-6485-0961-9280,283,South Maximemouth,0,Niger,CREDIT_CARD,Missouri,02955,Marketplace.Grains.Extended.OrderActorExt:60:2;Marketplace.Grains.Extended.PaymentActorExt:60:1;Marketplace.Grains.Extended.StockActorExt:57:3;Marketplace.Grains.Extended.StockActorExt:55:3;Marketplace.Grains.Extended.StockActorExt:13:3;
13501,09/28/2023 23:38:14,288:Incredible Frozen Shoes:3:325:2:0;,13501,Rudy,Stehr,2336 Cleo Center,Savings Account,06.12.2023,Hailie Lehner,6771848226384307853,977,New Milton,0,Democratic People's Republic of Korea,CREDIT_CARD,Illinois,90210-8962,Marketplace.Grains.Extended.OrderActorExt:61:2;Marketplace.Grains.Extended.PaymentActorExt:61:1;Marketplace.Grains.Extended.StockActorExt:32:3;
13502,09/28/2023 23:38:14,406:Incredible Rubber Keyboard:9:1350:5:0; 777:Licensed Plastic Towels:2:7949:3:0; 833:Licensed Soft Chair:2:2585:0:0;,13502,Carter,Terry,49756 Levi Meadow,Home Loan Account,23.01.2024,Sabina Gutmann,5444-3277-8302-4003,925,Lake Mercedesmouth,0,Peru,CREDIT_CARD,Ohio,68897,Marketplace.Grains.Extended.OrderActorExt:62:2;Marketplace.Grains.Extended.PaymentActorExt:62:1;Marketplace.Grains.Extended.StockActorExt:22:3;Marketplace.Grains.Extended.StockActorExt:9:3;Marketplace.Grains.Extended.StockActorExt:1:3;
13503,09/28/2023 23:38:14,630:Refined Metal Computer:4:2176:2:0; 408:Licensed Steel Car:10:1693:2:0; 872:Handmade Frozen Sausages:5:6418:0:0;,13503,Rita,Price,783 Meghan Radial,Checking Account,06.04.2024,Sydni Zulauf,6709792190192534593,288,North Jaymeburgh,0,Thailand,CREDIT_CARD,Wisconsin,44947-1478,Marketplace.Grains.Extended.OrderActorExt:63:2;Marketplace.Grains.Extended.PaymentActorExt:63:1;Marketplace.Grains.Extended.StockActorExt:54:3;Marketplace.Grains.Extended.StockActorExt:24:3;Marketplace.Grains.Extended.StockActorExt:40:3;
13504,09/28/2023 23:38:14,308:Tasty Plastic Salad:6:7275:5:0; 162:Ergonomic Metal Car:1:4380:5:0; 342:Refined Soft Hat:2:1512:0:0;,13504,Philip,Sipes,88152 Turner Falls,Home Loan Account,25.06.2024,Adolfo Batz,3799-068027-70371,620,Cathrineport,0,Myanmar,CREDIT_CARD,Arkansas,91328-3941,Marketplace.Grains.Extended.OrderActorExt:0:2;Marketplace.Grains.Extended.PaymentActorExt:0:1;Marketplace.Grains.Extended.StockActorExt:52:3;Marketplace.Grains.Extended.StockActorExt:34:3;Marketplace.Grains.Extended.StockActorExt:22:3;
13505,09/28/2023 23:38:14,712:Unbranded Frozen Pizza:3:4349:3:0; 219:Generic Metal Pizza:5:8026:1:0; 80:Small Frozen Gloves:2:2919:4:0; 511:Unbranded Cotton Fish:5:5063:5:0;,13505,Cleta,Johnson,5664 Wyman Vista,Investment Account,27.02.2024,Ebony Kuhic,6706398249278658,747,Kamronland,0,New Caledonia,CREDIT_CARD,Kansas,60022,Marketplace.Grains.Extended.OrderActorExt:1:2;Marketplace.Grains.Extended.PaymentActorExt:1:1;Marketplace.Grains.Extended.StockActorExt:8:3;Marketplace.Grains.Extended.StockActorExt:27:3;Marketplace.Grains.Extended.StockActorExt:16:3;Marketplace.Grains.Extended.StockActorExt:63:3;
13506,09/28/2023 23:38:14,756:Practical Granite Salad:6:8407:0:0;,13506,Elisa,Howe,659 Darrell Locks,Home Loan Account,31.03.2024,Genoveva Wisozk,6388-8304-9727-2012,468,South Bethelfort,0,Cocos (Keeling) Islands,CREDIT_CARD,Wisconsin,55322-6630,Marketplace.Grains.Extended.OrderActorExt:2:2;Marketplace.Grains.Extended.PaymentActorExt:2:1;Marketplace.Grains.Extended.StockActorExt:52:3;
13507,09/28/2023 23:38:14,792:Intelligent Plastic Pants:1:165:0:0; 41:Licensed Frozen Car:7:7720:5:0; 781:Tasty Plastic Soap:1:3730:1:0; 506:Fantastic Wooden Chair:9:5774:1:0; 125:Ergonomic Rubber Shirt:2:5465:0:0; 996:Licensed Steel Bike:9:7554:1:0;,13507,Watson,Harris,6557 Ofelia Ports,Credit Card Account,13.11.2023,Diana Ankunding,6767-4619-7090-6137-330,321,New Marilou,0,Democratic People's Republic of Korea,CREDIT_CARD,Vermont,30198,Marketplace.Grains.Extended.OrderActorExt:3:2;Marketplace.Grains.Extended.PaymentActorExt:3:1;Marketplace.Grains.Extended.StockActorExt:24:3;Marketplace.Grains.Extended.StockActorExt:41:3;Marketplace.Grains.Extended.StockActorExt:13:3;Marketplace.Grains.Extended.StockActorExt:58:3;Marketplace.Grains.Extended.StockActorExt:61:3;Marketplace.Grains.Extended.StockActorExt:36:3;
13508,09/28/2023 23:38:14,57:Small Fresh Fish:2:9056:3:0; 27:Incredible Frozen Table:7:3191:3:0; 931:Ergonomic Fresh Computer:4:4312:1:0; 945:Sleek Cotton Towels:5:304:3:0; 726:Handmade Granite Tuna:8:9129:5:0; 490:Sleek Metal Ball:2:2427:3:0;,13508,Cyril,Lemke,9017 Jadon Lakes,Credit Card Account,22.03.2024,Naomie Spencer,6767-8885-6550-9379-40,669,Cecilberg,0,Madagascar,CREDIT_CARD,North Carolina,83351-7720,Marketplace.Grains.Extended.OrderActorExt:4:2;Marketplace.Grains.Extended.PaymentActorExt:4:1;Marketplace.Grains.Extended.StockActorExt:57:3;Marketplace.Grains.Extended.StockActorExt:27:3;Marketplace.Grains.Extended.StockActorExt:35:3;Marketplace.Grains.Extended.StockActorExt:49:3;Marketplace.Grains.Extended.StockActorExt:22:3;Marketplace.Grains.Extended.StockActorExt:42:3;
13509,09/28/2023 23:38:14,753:Gorgeous Concrete Table:4:4812:3:0; 777:Licensed Plastic Towels:5:7949:3:0; 788:Intelligent Granite Gloves:2:290:4:0; 367:Unbranded Wooden Cheese:5:8957:1:0; 361:Gorgeous Soft Towels:6:3401:5:0; 267:Small Cotton Chips:6:9169:5:0; 380:Handmade Granite Bike:10:8831:2:0; 835:Practical Cotton Fish:7:8197:2:0; 971:Ergonomic Fresh Pizza:8:5921:4:0;,13509,Georgianna,Fritsch,891 Kari Land,Savings Account,28.09.2023,Libbie Nicolas,6767-2411-6854-9854-27,922,Mafaldatown,0,Saint Barthelemy,CREDIT_CARD,Iowa,34846-7949,Marketplace.Grains.Extended.OrderActorExt:5:2;Marketplace.Grains.Extended.PaymentActorExt:5:1;Marketplace.Grains.Extended.StockActorExt:49:3;Marketplace.Grains.Extended.StockActorExt:9:3;Marketplace.Grains.Extended.StockActorExt:20:3;Marketplace.Grains.Extended.StockActorExt:47:3;Marketplace.Grains.Extended.StockActorExt:41:3;Marketplace.Grains.Extended.StockActorExt:11:6;Marketplace.Grains.Extended.StockActorExt:60:3;Marketplace.Grains.Extended.StockActorExt:3:3;
