OrderId,CreatedAt,Items,CustomerId,FirstName,LastName,Street,CardBrand,CardExpiration,CardHolderName,CardNumber,CardSecurityNumber,City,Installments,Complement,PaymentType,State,ZipCode,GrainAccesses
7000,09/28/2023 23:37:42,710:Unbranded Plastic Car:3:8382:4:0;,7000,Jarret,Larson,130 Romaguera Burg,Savings Account,06.05.2024,Kurt Buckridge,4758431976215,619,North Dwight,0,Tanzania,CREDIT_CARD,Idaho,38220-6082,Marketplace.Grains.OrderActor:88:2;Marketplace.Grains.PaymentActor:88:1;Marketplace.Grains.StockActor:70:3;
7001,09/28/2023 23:37:42,189:Refined Metal Salad:3:2441:1:0; 952:Intelligent Cotton Sausages:4:3188:1:0; 314:Ergonomic Fresh Sausages:10:9925:5:0; 892:Sleek Wooden Bacon:1:6377:3:0;,7001,Wilhelm,Johns,7194 Leonard Tunnel,Savings Account,09.05.2024,Abdul Muller,3006-696160-4498,379,South Gabeville,0,Serbia,CREDIT_CARD,Washington,20077,Marketplace.Grains.OrderActor:89:2;Marketplace.Grains.PaymentActor:89:1;Marketplace.Grains.StockActor:61:3;Marketplace.Grains.StockActor:56:3;Marketplace.Grains.StockActor:58:3;Marketplace.Grains.StockActor:124:3;
7002,09/28/2023 23:37:42,781:Tasty Plastic Soap:1:3730:1:0; 620:Ergonomic Fresh Cheese:5:3460:1:0;,7002,Madge,Kutch,478 Marlee Ways,Checking Account,02.01.2024,Katlynn Raynor,6771-8930-8630-7909,780,East Tierra,0,New Caledonia,CREDIT_CARD,Hawaii,60389,Marketplace.Grains.OrderActor:90:2;Marketplace.Grains.PaymentActor:90:1;Marketplace.Grains.StockActor:13:3;Marketplace.Grains.StockActor:108:3;
7003,09/28/2023 23:37:42,602:Generic Rubber Mouse:3:9880:3:0; 713:Generic Fresh Mouse:8:205:3:0; 632:Fantastic Soft Computer:8:2083:4:0; 500:Gorgeous Cotton Ball:7:6517:2:0; 400:Intelligent Concrete Sausages:7:8038:1:0; 589:Generic Soft Gloves:6:5694:5:0; 445:Generic Frozen Chips:2:1666:5:0;,7003,Alanna,Bergnaum,7625 Jaskolski Village,Investment Account,10.06.2024,Alana Lueilwitz,4028203010738,554,Port Delbertton,0,Belgium,CREDIT_CARD,New Jersey,16991,Marketplace.Grains.OrderActor:91:2;Marketplace.Grains.PaymentActor:91:1;Marketplace.Grains.StockActor:90:3;Marketplace.Grains.StockActor:73:3;Marketplace.Grains.StockActor:120:3;Marketplace.Grains.StockActor:116:3;Marketplace.Grains.StockActor:16:3;Marketplace.Grains.StockActor:77:3;Marketplace.Grains.StockActor:61:3;
7004,09/28/2023 23:37:42,253:Generic Cotton Car:3:6188:5:0; 871:Handmade Steel Pants:1:8679:5:0; 284:Awesome Steel Mouse:4:6707:0:0; 494:Gorgeous Metal Towels:6:2454:1:0; 411:Small Steel Fish:2:1901:3:0; 200:Fantastic Steel Bike:4:188:4:0;,7004,Winston,Barton,13671 Paige Lodge,Money Market Account,13.04.2024,Elton Willms,6523-6202-1652-8614-9124,654,Lexieshire,0,Syrian Arab Republic,CREDIT_CARD,Maryland,64766,Marketplace.Grains.OrderActor:92:2;Marketplace.Grains.PaymentActor:92:1;Marketplace.Grains.StockActor:125:3;Marketplace.Grains.StockActor:103:3;Marketplace.Grains.StockActor:28:3;Marketplace.Grains.StockActor:110:3;Marketplace.Grains.StockActor:27:3;Marketplace.Grains.StockActor:72:3;
7005,09/28/2023 23:37:42,721:Gorgeous Frozen Gloves:5:1962:4:0; 687:Awesome Cotton Shoes:9:7138:4:0; 154:Generic Metal Bacon:7:9980:0:0; 196:Ergonomic Granite Hat:3:6431:3:0; 297:Practical Soft Bacon:6:7369:1:0; 78:Gorgeous Concrete Cheese:4:9128:4:0;,7005,Coty,Dickens,25513 Marcus Creek,Auto Loan Account,03.07.2024,Cassandre Nienow,6767-4157-4644-0008-477,805,Burdetteburgh,0,Panama,CREDIT_CARD,Wisconsin,31693,Marketplace.Grains.OrderActor:93:2;Marketplace.Grains.PaymentActor:93:1;Marketplace.Grains.StockActor:81:3;Marketplace.Grains.StockActor:47:3;Marketplace.Grains.StockActor:26:3;Marketplace.Grains.StockActor:68:3;Marketplace.Grains.StockActor:41:3;Marketplace.Grains.StockActor:78:3;
7006,09/28/2023 23:37:42,739:Generic Rubber Mouse:10:5842:3:0;,7006,Brigitte,Hodkiewicz,0926 Streich Burg,Auto Loan Account,16.03.2024,Ally Powlowski,5020-4378-2009-6906,785,Keeblerburgh,0,Kuwait,CREDIT_CARD,New Mexico,61000,Marketplace.Grains.OrderActor:94:2;Marketplace.Grains.PaymentActor:94:1;Marketplace.Grains.StockActor:99:3;
7007,09/28/2023 23:37:42,261:Generic Concrete Bike:7:3401:3:0; 922:Incredible Fresh Keyboard:3:8996:5:0; 147:Generic Cotton Shirt:1:2247:0:0; 304:Tasty Wooden Pants:3:7261:2:0;,7007,Linnea,Reinger,495 Dillon Island,Personal Loan Account,31.08.2024,Cheyenne Wilderman,3447-308030-16580,995,Ryleighmouth,0,Gabon,CREDIT_CARD,Minnesota,29137,Marketplace.Grains.OrderActor:95:2;Marketplace.Grains.PaymentActor:95:1;Marketplace.Grains.StockActor:5:3;Marketplace.Grains.StockActor:26:3;Marketplace.Grains.StockActor:19:3;Marketplace.Grains.StockActor:48:3;
7008,09/28/2023 23:37:42,879:Generic Soft Tuna:9:5642:2:0; 107:Awesome Granite Shirt:6:7894:3:0;,7008,Polly,Heidenreich,013 Stiedemann Flat,Investment Account,17.06.2024,Monique Kiehn,6490-6299-5776-7634-4763,763,Port Marge,0,Poland,CREDIT_CARD,New York,92358-0240,Marketplace.Grains.OrderActor:96:2;Marketplace.Grains.PaymentActor:96:1;Marketplace.Grains.StockActor:111:3;Marketplace.Grains.StockActor:107:3;
7009,09/28/2023 23:37:42,767:Rustic Cotton Towels:10:1347:5:0; 434:Incredible Concrete Chair:9:9011:4:0; 729:Handmade Cotton Shoes:1:1364:2:0; 301:Unbranded Granite Ball:5:4651:1:0;,7009,Mazie,Spinka,2051 Reichert Passage,Home Loan Account,13.08.2024,Greyson Willms,6771491974460417,895,East Clair,0,Montenegro,CREDIT_CARD,Illinois,01262-9552,Marketplace.Grains.OrderActor:97:2;Marketplace.Grains.PaymentActor:97:1;Marketplace.Grains.StockActor:127:3;Marketplace.Grains.StockActor:50:3;Marketplace.Grains.StockActor:89:3;Marketplace.Grains.StockActor:45:3;
7010,09/28/2023 23:37:42,509:Refined Cotton Chips:8:9685:5:0; 169:Sleek Steel Chips:1:3396:0:0; 679:Tasty Soft Chair:8:3947:4:0; 370:Licensed Plastic Keyboard:5:9673:2:0; 123:Handcrafted Rubber Towels:10:7689:2:0;,7010,Nestor,Boyer,881 Schinner Ridge,Checking Account,04.06.2024,Simone Okuneva,6767-5330-7944-4584,371,Weissnatborough,0,Dominica,CREDIT_CARD,Oklahoma,38365,Marketplace.Grains.OrderActor:98:2;Marketplace.Grains.PaymentActor:98:1;Marketplace.Grains.StockActor:125:3;Marketplace.Grains.StockActor:41:3;Marketplace.Grains.StockActor:39:3;Marketplace.Grains.StockActor:114:3;Marketplace.Grains.StockActor:123:3;
7011,09/28/2023 23:37:42,149:Handcrafted Rubber Chips:4:7375:5:0; 277:Unbranded Soft Soap:1:5886:3:0; 708:Sleek Wooden Chips:9:1968:4:0; 345:Gorgeous Plastic Hat:9:3386:5:0;,7011,Cesar,Gulgowski,1821 Walker Path,Money Market Account,10.02.2024,Jewel Bradtke,5273-6502-0521-9562,658,Kossfurt,0,Moldova,CREDIT_CARD,South Dakota,11275,Marketplace.Grains.OrderActor:99:2;Marketplace.Grains.PaymentActor:99:1;Marketplace.Grains.StockActor:21:6;Marketplace.Grains.StockActor:68:3;Marketplace.Grains.StockActor:89:3;
7012,09/28/2023 23:37:42,274:Gorgeous Plastic Computer:4:6609:1:0; 88:Intelligent Plastic Ball:4:430:4:0; 995:Licensed Soft Shirt:4:1747:1:0;,7012,Wilfredo,Daugherty,12494 April Center,Credit Card Account,03.03.2024,Lesley Gorczany,6767-0230-9242-2372-829,544,Lake Jaden,0,Albania,CREDIT_CARD,Wyoming,94669,Marketplace.Grains.OrderActor:100:2;Marketplace.Grains.PaymentActor:100:1;Marketplace.Grains.StockActor:18:3;Marketplace.Grains.StockActor:88:3;Marketplace.Grains.StockActor:99:3;
7013,09/28/2023 23:37:42,159:Sleek Wooden Chips:1:835:5:0; 10:Licensed Metal Sausages:7:8395:0:0; 661:Refined Granite Table:7:3761:4:0;,7013,Yvonne,Jacobi,369 Bednar Circles,Auto Loan Account,24.08.2024,Vivienne Cummings,6304595766155344,020,North Arvelport,0,Zambia,CREDIT_CARD,Virginia,75817-9455,Marketplace.Grains.OrderActor:101:2;Marketplace.Grains.PaymentActor:101:1;Marketplace.Grains.StockActor:31:3;Marketplace.Grains.StockActor:10:3;Marketplace.Grains.StockActor:21:3;
7014,09/28/2023 23:37:42,413:Refined Frozen Fish:2:3333:0:0; 977:Generic Steel Tuna:1:5155:4:0; 624:Unbranded Concrete Chicken:10:4836:3:0; 285:Licensed Plastic Pants:7:7832:5:0; 674:Ergonomic Metal Bike:5:3328:5:0; 279:Awesome Cotton Tuna:6:1359:4:0;,7014,Lamar,Kreiger,938 Ruecker Harbors,Auto Loan Account,06.04.2024,Filiberto Baumbach,4249-8226-3791-6032,418,Robertoborough,0,Monaco,CREDIT_CARD,Montana,21188-5362,Marketplace.Grains.OrderActor:102:2;Marketplace.Grains.PaymentActor:102:1;Marketplace.Grains.StockActor:29:6;Marketplace.Grains.StockActor:81:3;Marketplace.Grains.StockActor:112:3;Marketplace.Grains.StockActor:34:3;Marketplace.Grains.StockActor:23:3;
7015,09/28/2023 23:37:42,155:Ergonomic Concrete Shirt:4:5778:1:0; 937:Fantastic Metal Chicken:5:5771:1:0; 405:Handcrafted Plastic Pants:2:1184:1:0;,7015,Avis,Schneider,365 Kiehn Mill,Personal Loan Account,10.08.2024,Dario Jacobson,6011-6248-5076-3729-2951,538,Vernicehaven,0,Senegal,CREDIT_CARD,Delaware,58599-4452,Marketplace.Grains.OrderActor:103:2;Marketplace.Grains.PaymentActor:103:1;Marketplace.Grains.StockActor:27:3;Marketplace.Grains.StockActor:41:3;Marketplace.Grains.StockActor:21:3;
